matched_registration_number,match_method,tribunal_property_factor,tribunal_registration_number,case_references,case_urls,application_complaints,hearing_date,outcome,outcome_type,pfeo_resolved,section_1_written_statement,section_2_communication,section_3_financial,section_4_debt,section_5_insurance,section_6_repairs,section_7_complaints,property_factor_duties,pdf_files,pdf_urls,upper_tribunal_decisions,upper_tribunal_urls
PF000095,registration_number,First Port Property Services Scotland LTD,PF000095,FTS/HPC/PF/21/0603 + others,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210603-others,,2021-08-06T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Decision  - Kyle Court.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%20%20-%20Kyle%20Court.pdf,,
PF000108,registration_number,Newton Property Management limited (Property Factor),PF000108,FTS/HPC/PF/21/0429,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210429,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2021-08-05T12:00:00Z,Rejected,positive,,False,True,True,True,False,True,False,True,rejection PF.0429_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/rejection%20PF.0429_Redacted.pdf,,
PF000814,registration_number,LAR Property Management C.I.C (Property Factor),PF000814,FTS/HPC/PF/21/1062,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf211062,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code)",2021-07-29T12:00:00Z,Decision Issued,negative,,False,True,False,False,False,True,True,False,PF-20-1062  -  Compliance Decision  (1)_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF-20-1062%20%20-%20%20Compliance%20Decision%20%20%281%29_Redacted.pdf,,
PF000095,registration_number,FirstPort Property Services Scotland,PF000095,FTS/HPC/PF/21/1125,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf211125,,2021-07-29T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Decision on Homeowners Application PF.21.1125 (2)_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%20on%20Homeowners%20Application%20PF.21.1125%20%282%29_Redacted.pdf,,
PF000196,registration_number,Ross & Liddle,PF000196,FTS/HPC/LM/21/1223,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm211223,,2021-07-28T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Decision LM.21.1223.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%20LM.21.1223.pdf,,
PF000170,registration_number,Trinity Factoring Services Ltd.,PF000170,FTS/HPC/PF/21/0147,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210147,"Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2021-07-23T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,True,False,True,WS v Trinity final decision _Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/WS%20v%20Trinity%20final%20decision%20_Redacted.pdf,,
PF000785,registration_number,Lowther Homes Limited,PF000785,FTS/HPC/LM/21/0858,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm210858,,2021-07-09T12:00:00Z,PFEO Proposed,negative,pending,False,False,False,False,False,False,False,False,Decision.21.0858.pdf | Proposed PFEO.21.0858.pdf | Written Decision (NO PFEO)  LM.21.0858.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision.21.0858.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20PFEO.21.0858.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28NO%20PFEO%29%20%20LM.21.0858.pdf,,
PF000170,registration_number,Trinity Factoring Services Ltd.,PF000170,FTS/HPC/PF/21/0431,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210431,,2021-07-09T12:00:00Z,Rejected,positive,,False,False,False,False,False,False,False,False,rejection decision signed 21- 0431_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/rejection%20decision%20signed%2021-%200431_Redacted.pdf,,
PF000103,registration_number,James Gibb Property Management,PF000103,FTS/HPC/PF/21/0788,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210788,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Complaints resolution (Section 7 of Code)",2021-07-09T12:00:00Z,Rejected,positive,,True,True,False,False,False,False,True,False,rejection decision signed 20-0788_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/rejection%20decision%20signed%2020-0788_Redacted.pdf,,
PF000103,registration_number,James Gibb Property Management,PF000103,FTS/HPC/PF/21/0865,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210865,"Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2021-07-05T12:00:00Z,Rejected,positive,,False,False,False,False,False,True,False,True,Rejection decision PF .21.0825_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Rejection%20decision%20PF%20.21.0825_Redacted.pdf,,
PF000785,registration_number,Lowther Homes Limited,PF000785,FTS/HPC/PF/21/0873,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210873,,2021-07-05T12:00:00Z,Rejected,positive,,False,False,False,False,False,False,False,False,Rejection PF.21.0873_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Rejection%20PF.21.0873_Redacted.pdf,,
PF000152,registration_number,River Clyde Homes,PF000152,FTS/HPC/PF/21/0795,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210795,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Property Factor Duties",2021-07-01T12:00:00Z,Decision Issued,negative,,False,True,True,False,False,False,False,True,PF.21.0795 Statement of Decision_Redacted.pdf | PF.21.0795 Statement of Decision _Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.21.0795%20Statement%20of%20Decision_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.21.0795%20Statement%20of%20Decision%20_Redacted.pdf,,
PF000103,registration_number,James Gibb Property Management Ltd,PF000103,FTS/HPC/PF/21/0188,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210188,,2021-06-30T12:00:00Z,PFEO Proposed,negative,pending,False,False,False,False,False,False,False,False,PF.21.0188 PFEO (10.10.2021).pdf | Decision PF.21.0188_Redacted.pdf | Proposed PFEO 0188 Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.21.0188%20PFEO%20%2810.10.2021%29.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%20PF.21.0188_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20PFEO%200188%20Redacted.pdf,,
PF000288,registration_number,Hacking and Paterson,PF000288,FTS/HPC/PF/20/2250,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202250,,2021-06-25T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Written Decision (Complied) PF.20.2250_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Complied%29%20PF.20.2250_Redacted.pdf,,
PF000212,registration_number,Your Place,PF000212,FTS/HPC/PF/20/2158,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202158,Complaints resolution (Section 7 of Code),2021-06-24T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,True,False,Decision PF202158 210721_Redacted.pdf | Proposed PFEO PF.20.2158_Redacted.pdf | PFEO PF.20.2158_Redacted.pdf | Certificate of Compliance PF.20.2158_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%20PF202158%20210721_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20PFEO%20PF.20.2158_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20PF.20.2158_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Certificate%20of%20Compliance%20PF.20.2158_Redacted.pdf,,
PF000103,registration_number,James Gibb Property Management Ltd,PF000103,FTS/HPC/PF/21/0954,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210954,,2021-06-22T12:00:00Z,Rejected,positive,,False,False,False,False,False,False,False,False,Rejection decision PF .21.0954_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Rejection%20decision%20PF%20.21.0954_Redacted.pdf,,
PF000095,registration_number,First Port Property Services Scotland,PF000095,FTS/HPC/PF/20/1983,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201983,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2021-06-18T12:00:00Z,Complied,positive,resolved,True,True,True,True,True,True,False,True,Decision James Whyte v First Port (002)_Redacted.pdf | James Whyte First Port PFEO__Redacted.pdf | Signed J Whyte FP Certificate of compliance (002) PF.20.1983_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%20James%20Whyte%20v%20First%20Port%20%28002%29_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/James%20Whyte%20First%20Port%20PFEO__Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Signed%20J%20Whyte%20FP%20Certificate%20of%20compliance%20%28002%29%20PF.20.1983_Redacted.pdf,,
PF000203,registration_number,Life Property Management (Property Factor),PF000203,FTS/HPC/PF/20/1955 | FTS/HPC/PF/20/1954 | FTS/HPC/PF/20/1956 | FTS/HPC/PF/20/1957 | FTS/HPC/PF/20/1958 | FTS/HPC/PF/20/1959 | FTS/HPC/PF/20/1960 | FTS/HPC/PF/20/1961 | FTS/HPC/PF/20/1962 | FTS/HPC/PF/20/1969 | FTS/HPC/PF/20/1970 | FTS/HPC/PF/20/1971 | FTS/HPC/PF/20/1973 | FTS/HPC/PF/20/1974 | FTS/HPC/PF/20/1975 | FTS/HPC/PF/20/1977 | FTS/HPC/PF/20/1979 | FTS/HPC/PF/20/1981 | FTS/HPC/PF/20/1964,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-18-others,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2021-06-16T12:00:00Z,Complied,positive,resolved,False,True,True,False,False,True,False,True,Written Decisions (Failure to Comply) (Proposed PFEOs) PF.1955 + 18 others_Redacted.pdf | PFEO PF.20.1955 + 18 others.pdf | Certificate of Compliance PF.20.1955 + 18 others.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decisions%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEOs%29%20PF.1955%20%2B%2018%20others_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20PF.20.1955%20%2B%2018%20others.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Certificate%20of%20Compliance%20PF.20.1955%20%2B%2018%20others.pdf,,
PF000203,registration_number,Life Property Management (Property Factor),PF000203,FTS/HPC/GP/20/0389,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201955-19-others-mitre-courtroad,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2021-06-16T12:00:00Z,Decision Issued,negative,,False,True,True,False,False,True,False,True,Decisions PF.21.1955 +19 Others.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decisions%20PF.21.1955%20%2B19%20Others.pdf,,
PF000153,registration_number,Charles White LTD,PF000153,FTS/HPC/LM/20/1662,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm201662,,2021-06-11T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,False,Written Decision LM.20.1662_Redacted.pdf | Proposed PFEO LM.20.1662_Redacted.pdf | PFEO LM.20.1662_Redacted.pdf | Certificate of Compliance LM.20.1662.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20LM.20.1662_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20PFEO%20LM.20.1662_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20LM.20.1662_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Certificate%20of%20Compliance%20LM.20.1662.pdf,,
PF000110,registration_number,Redpath Bruce,PF000110,FTS/HPC/PF/21/0593,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210593,,2021-06-09T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) PF.21.0593.pdf | Proposed PFEO PF.21.0593.pdf | Decision PF.21.0593_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF.21.0593.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20PFEO%20PF.21.0593.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%20PF.21.0593_Redacted.pdf,,
PF000314,registration_number,Miller Property Management Ltd,PF000314,FTS/HPC/PF/21/0459,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210459,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code)",2021-06-04T12:00:00Z,PFEO Issued - Non-Compliant,negative,unresolved,False,True,True,False,True,True,False,False,Caroline Adams v Miller Property Management decision 21.0459_Redacted.pdf | PFEO final _Redacted.pdf | signed-Failure to Comply with order decision (pf.21.0459) (002) (1)_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Caroline%20Adams%20v%20Miller%20Property%20Management%20decision%2021.0459_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20final%20_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/signed-Failure%20to%20Comply%20with%20order%20decision%20%28pf.21.0459%29%20%28002%29%20%281%29_Redacted.pdf,,
PF000095,registration_number,First Port Property Services Scotland LTD,PF000095,FTS/HPC/PF/21/0604  + 11 others Kyle Court,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210604-11-others-kyle-court,,2021-06-02T12:00:00Z,Rejected,positive,,False,False,False,False,False,False,False,False,Rejection Decision - Kyle Court_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Rejection%20Decision%20-%20Kyle%20Court_Redacted.pdf,,
PF000103,registration_number,James Gibb Property Management,PF000103,FTS/HPC/PF/20/1394,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201394,"Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code)",2021-05-25T12:00:00Z,Decision Issued,negative,,False,False,False,False,True,True,False,False,Decision1394_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision1394_Redacted.pdf,,
PF000110,registration_number,Redpath Bruce (Property Factor),PF000110,FTS/HPC/GP/21/0005,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcgp210005,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2021-05-19T12:00:00Z,PFEO Proposed,negative,pending,True,True,False,False,True,True,True,True,Decision with proposed PFEO_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%20with%20proposed%20PFEO_Redacted.pdf,,
PF000110,registration_number,Redpath Bruce (Property Factor),PF000110,FTS/HPC/PF/21/0020 | FTS/HPC/PF/21/0042 | FTS/HPC/PF/21/0043 | FTS/HPC/PF/21/0044 | FTS/HPC/PF/21/0045 | FTS/HPC/PF/21/0047,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210020-five-other-cases | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210020-five-other-cases | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210020-five-other-cases | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210020-five-other-cases | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210020-five-other-cases | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210020-five-other-cases,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2021-05-19T12:00:00Z,Complied,positive,resolved,True,True,False,False,True,True,True,True,Decision with proposed PFEO_Redacted.pdf | PF.21.0020 + 5 other cases Certificate of Compliance.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%20with%20proposed%20PFEO_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.21.0020%20%2B%205%20other%20cases%20Certificate%20of%20Compliance.pdf,,
PF000785,registration_number,Lowther Homes,PF000785,FTS/HPC/PF/22/0431,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf220431,,2021-05-16T12:00:00Z,Rejected,positive,,False,False,False,False,False,False,False,False,Signed Rejection PF.22.0431_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Signed%20Rejection%20PF.22.0431_Redacted.pdf,,
PF000288,registration_number,Hacking and Paterson Management Services,PF000288,FTS/HPC/PF/20/2224,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202224,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2021-05-06T12:00:00Z,Decision Issued,negative,,True,True,False,False,True,True,False,True,Written Decision (Complied) PF.20.2224_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Complied%29%20PF.20.2224_Redacted.pdf,,
PF000103,registration_number,James Gibb,PF000103,FTS/HPC/PF/20/2159,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202159,,2021-05-05T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply)(Proposed PFEO) PF.20.2159_Redacted.pdf | Proposed PFEO PF.20.2159_Redacted.pdf | REVISED PFEO _Redacted.pdf | Review Decision_Redacted.pdf | Compliance Decision Property Factor (PF.20.2159)_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Failure%20to%20Comply%29%28Proposed%20PFEO%29%20PF.20.2159_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20PFEO%20PF.20.2159_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/REVISED%20PFEO%20_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Review%20Decision_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Compliance%20Decision%20Property%20Factor%20%28PF.20.2159%29_Redacted.pdf,,
PF000103,manual_mapping,James Gibb Property Management,SC299465,FTS/HPC/PF/21/0434,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210434,Complaints resolution (Section 7 of Code),2021-05-04T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,True,False,PF.21.0434 Statement of Decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.21.0434%20Statement%20of%20Decision_Redacted.pdf,,
PF000103,registration_number,James Gibb (Property Factor),PF000103,FTS/HPC/PF/21/0434,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210434-0,Complaints resolution (Section 7 of Code),2021-05-04T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,True,False,PF.21.0434 Statement of Decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.21.0434%20Statement%20of%20Decision_Redacted_0.pdf,,
PF000160,registration_number,Spiers Gumley Property Management,PF000160,FTS/HPC/PF/20/2149,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202149,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2021-04-30T12:00:00Z,Decision Issued,negative,,False,True,False,False,False,True,True,True,DECISION FINAL 2149 (1)_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/DECISION%20FINAL%202149%20%281%29_Redacted.pdf,,
PF000103,registration_number,James Gibb Property Management,PF000103,FTS/HPC/PF/21/0124,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210124,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2021-04-29T12:00:00Z,Complied,positive,resolved,True,True,False,False,True,True,True,True,0124 _Redacted.pdf | PFEO 0124_R.pdf | certificate of compliance - 09.08.21 - PF.21.0124_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0124%20_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%200124_R.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/certificate%20of%20compliance%20-%2009.08.21%20-%20PF.21.0124_Redacted.pdf,,
PF000103,registration_number,James Gibb,PF000103,FTS/HPC/PF/19/1362,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf191362,,2021-04-23T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) PF.19.1362_Redacted.pdf | Proposed PFEO PF.19.1362_Redacted.pdf | Final PFEO PF.19.1362_Redacted.pdf | Certificate of Compliance - PF.19.1362_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF.19.1362_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20PFEO%20PF.19.1362_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Final%20PFEO%20PF.19.1362_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Certificate%20of%20Compliance%20-%20PF.19.1362_Redacted.pdf,,
PF000288,registration_number,Hacking and Paterson,PF000288,FTS/HPC/LM/20/2058,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm202058,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2021-04-21T12:00:00Z,Decision Issued,negative,,False,True,False,False,False,True,True,True,Decision 2058_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%202058_Redacted.pdf,,
PF000160,registration_number,Speirs Gumley Property Management,PF000160,FTS/HPC/PF/20/0067,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf200067,,2021-04-14T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Written Decision (Complied)PF.20.0067_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Complied%29PF.20.0067_Redacted.pdf,,
PF000269,registration_number,"W.M. Cumming, Turner & Watt",PF000269,FTS/HPC/PF/20/2674,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202674,,2021-04-07T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) PF.20.2674_Redacted.pdf | PFEO  PF.20.2674_Redacted.pdf | Failure to Comply with Order  - PF.20.2674_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF.20.2674_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20%20PF.20.2674_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Failure%20to%20Comply%20with%20Order%20%20-%20PF.20.2674_Redacted.pdf,,
